"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"U8","HTSSOP-16","246.181mil","-268.74mil","246.181mil","-268.74mil","363.11mil","-358.307mil","T","180.00","LM43603PWPT"
"R37","RES_0603[1608M]","1196.181mil","-488.74mil","1196.181mil","-488.74mil","1196.181mil","-517.284mil","B","90.00","RES"
"R35","RES_0402[1005M]","1586.181mil","-128.74mil","1586.181mil","-128.74mil","1565.512mil","-128.74mil","B","360.00","RES"
"R34","RES_0402[1005M]","1586.181mil","-208.74mil","1586.181mil","-208.74mil","1606.85mil","-208.74mil","T","180.00","RES"
"R33","JUMPER_RES_0402","1741.181mil","-328.74mil","1741.181mil","-328.74mil","1741.181mil","-349.409mil","T","90.00","RES"
"R32","RES_0603[1608M]","1256.181mil","-488.74mil","1256.181mil","-488.74mil","1256.181mil","-460.197mil","B","270.00","RES"
"R31","RES_0402[1005M]","1586.183mil","-168.739mil","1586.183mil","-168.739mil","1606.852mil","-168.739mil","B","180.00","RES"
"R30","RES_0603[1608M]","76.181mil","-488.74mil","76.181mil","-488.74mil","76.181mil","-517.284mil","B","90.00","RES"
"R28","RES_0402[1005M]","466.181mil","-128.74mil","466.181mil","-128.74mil","445.512mil","-128.74mil","B","360.00","RES"
"R27","RES_0402[1005M]","466.181mil","-208.74mil","466.181mil","-208.74mil","486.85mil","-208.74mil","T","180.00","RES"
"R26","JUMPER_RES_0402","621.181mil","-328.74mil","621.181mil","-328.74mil","621.181mil","-349.409mil","T","90.00","RES"
"R25","RES_0603[1608M]","136.181mil","-488.74mil","136.181mil","-488.74mil","136.181mil","-460.197mil","B","270.00","RES"
"R24","RES_0402[1005M]","466.181mil","-168.74mil","466.181mil","-168.74mil","486.85mil","-168.74mil","B","180.00","RES"
"L3","IHLP-3232DZ","1586.178mil","-578.743mil","1586.181mil","-578.74mil","1423.78mil","-578.74mil","T","360.00","6.8uH"
"L2","IHLP-3232DZ","466.178mil","-578.743mil","466.181mil","-578.74mil","303.779mil","-578.74mil","T","360.00","6.8uH"
"D2","SOD-128","1071.181mil","-503.74mil","1071.181mil","-503.74mil","1071.181mil","-590.354mil","B","270.00","SCHOTTKY DIODE"
"D1","SOD-128","746.181mil","-503.74mil","746.181mil","-503.74mil","746.181mil","-590.354mil","B","270.00","SCHOTTKY DIODE"
"C51","CAP_0402[1005M]","1586.181mil","-248.74mil","1586.181mil","-248.74mil","1565.512mil","-248.74mil","T","360.00","Cap"
"C50","CAP_0402[1005M]","1156.181mil","-198.74mil","1156.181mil","-198.74mil","1156.181mil","-219.41mil","T","90.00","Cap"
"C49","CAP_0402[1005M]","1586.181mil","-288.74mil","1586.181mil","-288.74mil","1606.85mil","-288.74mil","T","180.00","CAP"
"C48","CAP_0402[1005M]","1156.181mil","-313.74mil","1156.181mil","-313.74mil","1156.181mil","-334.409mil","T","90.00","Cap"
"C47","CAP_0603[1608M]","1626.181mil","-388.74mil","1626.181mil","-388.74mil","1654.724mil","-388.74mil","B","180.00","Cap"
